iteration,rc,elapsed_s,query_index,dataset,method,method_params
0,1.4858434,10.940025568008423,4896752,/mnt/hddhelp/workgen_data/astro-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0522414,18.87148427963257,4896752,/mnt/hddhelp/workgen_data/astro-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,1.4254422,8.532151460647583,4883497,/mnt/hddhelp/workgen_data/astro-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0357006,17.720182418823242,4883497,/mnt/hddhelp/workgen_data/astro-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,1.5044017,8.598838090896606,4939701,/mnt/hddhelp/workgen_data/astro-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0333815,17.072506189346313,4939701,/mnt/hddhelp/workgen_data/astro-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,1.1915511,7.673608064651489,1900978,/mnt/hddhelp/workgen_data/astro-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0322018,15.745636940002441,1900978,/mnt/hddhelp/workgen_data/astro-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,1.4344409,7.367278575897217,856798,/mnt/hddhelp/workgen_data/astro-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0312922,14.679231882095337,856798,/mnt/hddhelp/workgen_data/astro-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,1.206127,8.28047776222229,4616230,/mnt/hddhelp/workgen_data/astro-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.02762,16.12982988357544,4616230,/mnt/hddhelp/workgen_data/astro-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,1.2047223,7.850654125213623,524463,/mnt/hddhelp/workgen_data/astro-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0272111,15.33329176902771,524463,/mnt/hddhelp/workgen_data/astro-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,1.2574383,7.314532279968262,1308461,/mnt/hddhelp/workgen_data/astro-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.039074,14.943253517150879,1308461,/mnt/hddhelp/workgen_data/astro-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,1.234598,8.110358715057373,693902,/mnt/hddhelp/workgen_data/astro-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0271475,15.943132162094116,693902,/mnt/hddhelp/workgen_data/astro-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
0,1.3748622,7.4109437465667725,1595484,/mnt/hddhelp/workgen_data/astro-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
1,1.0347675,14.897306203842163,1595484,/mnt/hddhelp/workgen_data/astro-256-100m.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 200, ""seed"": 1234}"
